%time Wind Power_wind
474 10.8043801 51493.8026863
475 10.8043801 51493.8026632
476 10.8043801 51493.8026439
477 10.8043801 51493.8026477
478 10.8043801 51493.802669
479 10.8043801 51493.802685
480 10.8043801 51493.8026798
481 10.8043801 51493.8026603
482 10.8043801 51493.8026473
483 10.8043801 51493.8026535
484 10.8043801 51493.8026711
485 10.8043801 51493.8026815
486 10.8043801 51493.8026747
487 10.8043801 51493.8026589
488 10.8043801 51493.8026507
489 10.8043801 51493.8026579
490 10.8043801 51493.8026721
491 10.8043801 51493.8026783
492 10.8043801 51493.8026709
493 10.8043801 51493.8026584
494 10.8043801 51493.8026538
495 10.8043801 51493.8026612
496 10.8043801 51493.8026722
497 10.8043801 51493.8026754
498 10.8043801 51493.8026681
499 10.8043801 51493.8026585
500 10.8043801 51493.8026565
501 10.8043801 51493.8026635
502 10.8043801 51493.8026718
503 10.8043801 51493.8026729
504 10.8043801 51493.8026662
505 10.8043801 51493.8026591
506 10.8043801 51493.8026588
507 10.8043801 51493.8026651
508 10.8043801 51493.8026711
509 10.8043801 51493.8026708
510 10.8043801 51493.8026649
511 10.8043801 51493.8026599
512 10.8043801 51493.8026607
513 10.8043801 51493.8026661
514 10.8043801 51493.8026703
515 10.8043801 51493.8026691
516 10.8043801 51493.8026642
517 10.8043801 51493.8026607
518 10.8043801 51493.8026621
519 10.8043801 51493.8026667
520 10.8043801 51493.8026695
521 10.8043801 51493.8026678
522 10.8043801 51493.8026637
523 10.8043801 51493.8026615
524 10.8043801 51493.8026633
525 10.8043801 51493.8026669
526 10.8043801 51493.8026686
527 10.8043801 51493.8026668
528 10.8043801 51493.8026636
529 10.8043801 51493.8026623
530 10.8043801 51493.8026641
531 10.8043801 51493.802667
532 10.8043801 51493.8026679
533 10.8043801 51493.8026661
534 10.8043801 51493.8026636
535 10.8043801 51493.802663
536 10.8043801 51493.8026648
537 10.8043801 51493.8026669
538 10.8043801 51493.8026673
539 10.8043801 51493.8026656
540 10.8043801 51493.8026637
541 10.8043801 51493.8026636
542 10.8043801 51493.8026652
543 10.8043801 51493.8026668
544 10.8043801 51493.8026667
545 10.8043801 51493.8026652
546 10.8043801 51493.8026639
547 10.8043801 51493.8026641
548 10.8043801 51493.8026655
549 10.8043801 51493.8026666
550 10.8043801 51493.8026663
551 10.8043801 51493.802665
552 10.8043801 51493.8026641
553 10.8043801 51493.8026645
554 10.8043801 51493.8026656
555 10.8043801 51493.8026664
556 10.8043801 51493.802666
557 10.8043801 51493.8026649
558 10.8043801 51493.8026643
559 10.8043801 51493.8026647
560 10.8043801 51493.8026657
561 10.8043801 51493.8026662
562 10.8043801 51493.8026657
563 10.8043801 51493.8026649
564 10.8043801 51493.8026645
565 10.8043801 51493.802665
566 10.8043801 51493.8026657
567 10.8043801 51493.802666
568 10.8043801 51493.8026655
569 10.8043801 51493.8026649
570 10.8043801 51493.8026647
571 10.8043801 51493.8026651
572 10.8043801 51493.8026657
573 10.8043801 51493.8026658
574 10.8043801 51493.8026654
575 10.8043801 51493.8026649
576 10.8043801 51493.8026648
577 10.8043801 51493.8026652
578 10.8043801 51493.8026657
579 10.8043801 51493.8026657
580 10.8043801 51493.8026653
581 10.8043801 51493.8026649
582 10.8043801 51493.802665
583 10.8043801 51493.8026653
584 10.8043801 51493.8026656
585 10.8043801 51493.8026656
586 10.8043801 51493.8026652
587 10.8043801 51493.802665
588 10.8043801 51493.8026651
589 10.8043801 51493.8026654
590 10.8043801 51493.8026656
591 10.8043801 51493.8026655
592 10.8043801 51493.8026652
593 10.8043801 51493.802665
594 10.8043801 51493.8026651
595 10.8043801 51493.8026654
596 10.8043801 51493.8026655
597 10.8043801 51493.8026654
598 10.8043801 51493.8026652
599 10.8043801 51493.8026651
600 10.8043801 51493.8026652
601 10.8043801 51493.8026654
602 10.8043801 51493.8026655
603 10.8043801 51493.8026654
604 10.8043801 51493.8026652
605 10.8043801 51493.8026651
606 10.8043801 51493.8026652
607 10.8043801 51493.8026654
608 10.8043801 51493.8026654
609 10.8043801 51493.8026653
610 10.8043801 51493.8026652
611 10.8043801 51493.8026652
612 10.8043801 51493.8026653
613 10.8043801 51493.8026654
614 10.8043801 51493.8026654
615 10.8043801 51493.8026653
616 10.8043801 51493.8026652
617 10.8043801 51493.8026652
618 10.8043801 51493.8026653
619 10.8043801 51493.8026654
620 10.8043801 51493.8026654
621 10.8043801 51493.8026653
622 10.8043801 51493.8026652
623 10.8043801 51493.8026652
624 10.8043801 51493.8026653
625 10.8043801 51493.8026653
626 10.8043801 51493.8026653
627 10.8043801 51493.8026653
628 10.8043801 51493.8026652
629 10.8043801 51493.8026653
630 10.8043801 51493.8026653
631 10.8043801 51493.8026653
632 10.8043801 51493.8026653
633 10.8043801 51493.8026653
