Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
2	2338	2770	3016
2	2338	2770	3016
2	2338	2768	3016
2	2338	2768	3016
2	2338	2768	3016
2	2338	2768	3016
2	2338	2768	3016
2	2338	2770	3016
2	2338	2770	3014
2	2338	2770	3014
24	2338	2770	3014
24	2338	2770	3014
1288	2338	3270	3014
1288	2338	3270	40
1288	2338	3270	40
1288	2338	3270	40
1288	2338	1560	40
1282	2338	1560	40
1282	2336	2766	40
1282	2336	2766	40
1282	2336	2766	40
1282	2336	2766	1816
1280	2336	2766	1816
1280	2336	2762	3030
1280	2336	2762	3030
1280	2336	2762	3030
1280	2336	2762	3030
4	2336	2762	3030
4	4	2764	3030
4	4	2764	3028
4	4	2764	3028
4	546	2764	3028
2	546	2764	3028
2	2352	2764	3024
2	2352	2764	3024
2	2352	2764	3024
2	2352	2764	3024
2	2352	2764	3024
2	2340	2758	3018
270	2340	2758	3018
270	2340	2758	3018
270	2340	2758	3018
1284	2340	2758	3018
1284	2338	2760	3016
1284	2338	2760	3016
1284	2338	2760	3016
1284	2338	2760	3016
1276	2338	2760	3016
1276	2338	2762	2978
1276	2338	2762	2978
1276	2338	2762	2978
1276	2338	2762	2978
1276	2338	2762	2978
1276	2336	2758	2976
1276	2336	2758	2976
1276	2336	2758	3018
1276	2336	2758	3018
2	2336	2758	3018
2	2338	2756	3018
2	2338	2756	3018
2	2338	2756	3014
2	2338	2756	3014
2	2338	2756	3014
2	2336	2756	3014
2	2336	2770	3014
2	2336	2770	3012
2	2336	2770	3012
2	2336	2770	3012
2	2334	2772	3012
140	2334	2772	3012
140	2334	2772	3012
1284	2334	2772	3012
1284	2334	2772	3012
1284	4	3260	3012
1284	4	3260	3012
1284	4	3260	3012
1276	4	3260	40
1276	4	3260	40
1276	2068	2782	40
1276	2068	2782	40
1276	2346	2782	40
1276	2346	2782	1760
1276	2346	2780	1760
1276	2346	2780	3030
1276	2346	2780	3030
1276	2338	2780	3030
138	2338	2780	3030
138	2338	2774	3030
138	2338	2774	3030
138	2338	2774	3026
138	2336	2774	3026
2	2336	2774	3026
