Regular (W)	PermPress (W)	Delicates (W)
61.3	112.1	7.6
21.1	100.3	7.6
7.8	107.4	106.1
7.8	121.5	106.1
7.6	107	281
7.5	99.4	281
7.5	11.1	35.1
7.4	8.5	35.1
7.5	8.3	7.8
7.5	8.2	7.8
7.6	8.2	7.5
130.6	8.2	7.5
117.8	8.2	7.5
105.6	8.2	7.5
105.6	108.9	7.5
87.5	98.8	7.5
90.5	106.2	7.5
102.4	106.2	7.5
92.3	97.2	252
86.7	103.1	252
88.3	140.8	24.5
92	108.6	24.5
95.5	9.7	7.7
81.9	8.5	7.7
79	8.3	7.6
89.3	8.3	7.6
97.4	8.3	7.6
97.4	8.1	7.6
31.2	8.1	7.5
9.3	15.4	7.5
7.6	108.7	7.5
7.5	99.7	7.5
7.5	80.9	290
7.5	95.1	290
7.4	111.5	40.3
7.5	110.3	40.3
7.5	108.5	7.9
7.5	17.1	7.9
16.7	9.1	7.6
148.5	8.3	7.6
108.6	8.2	7.5
78.4	8.2	7.5
104	8.2	7.4
88.1	8.2	7.4
92.6	8.1	267
94.9	51.1	267
101	110.5	318
94.6	101.8	318
96.2	120.1	13.2
78	91.9	13.2
77.6	123.3	8.5
76.1	116.5	8.5
74.9	128.2	7.5
79.6	19.3	7.5
99.1	8.7	7.5
100	8.3	7.5
18.9	8.2	7.4
10.8	8.2	7.4
7.8	8.2	368
7.6	8.2	368
7.6	8.1	251
7.5	106.7	251
7.5	106.9	10.4
12.8	110.6	10.4
12.8	90.5	7.7
12.8	70.6	7.7
74.9	110.8	7.6
105.1	122	7.6
102.7	102.6	7.5
94.3	17	7.5
86.7	8.6	7.5
107	8.4	7.5
103.4	8.3	298
88.5	8.2	298
91.4	8.2	253
82.7	8.2	253
104.5	8.1	9.3
98	106.8	9.3
99	100.1	7.8
96.2	110.4	7.8
100.4	102.7	7.7
108.8	97.9	7.7
105.6	113.1	7.6
118.5	106	7.6
33.2	125.1	7.5
7.9	13	7.5
7.7	8.4	281
7.6	8.2	281
7.5	8.1	223
7.6	8.2	223
7.6	8	8.7
7.6	8.1	8.7
7.6	17.5	7.6
7.4	17.5	7.6
144.3	127.5	7.5
120.3	100.7	7.5
104.5	106.4	7.6
81.3	109.6	7.6
98.5	120.2	7.5
94	123.2	7.5
99.4	36.3	339
71.5	9	339
83.6	8.4	223
89.5	8.2	223
92.2	8.1	9.4
92.2	8.1	9.4
93.3	8.1	7.6
92.3	8.2	7.6
95.3	50	7.5
97.4	50	7.5
97.6	132.4	7.5
52.4	110.9	7.5
10.8	103.9	7.6
7.7	123.1	7.6
7.5	131.3	292
7.5	135.4	292
7.4	22.5	208
7.6	9.5	208
7.4	9.5	8.1
7.5	8.3	8.1
7.3	8.2	7.6
8.1	8.1	7.6
8.1	8.1	7.6
116.3	8.1	7.6
70.9	104	7.5
76.7	112.9	7.5
86	150.9	52.5
88.7	97	52.5
85.1	112.6	273
91.3	112.7	273
82.6	123.8	71
91	123.8	71
89.7	12.1	17.5
92	8.7	17.5
87.2	8.2	12.8
77	8.2	12.8
78	8.2	12.7
101.5	8.2	12.7
101.3	8.2	8.3
26.7	8.1	8.3
9.1	140.1	132
7.6	85.4	132
7.5	93	279
7.5	132	279
7.5	108.1	19
7.6	124.1	19
7.4	123.9	8.1
7.4	117.8	8.1
7.5	12.2	7.6
27	8.7	7.6
172.6	8.3	7.5
122.6	8.1	7.5
122.6	8.2	7.4
78.9	8.2	7.4
77.7	8.1	7.4
80.1	8.1	7.4
80.1	144.4	323
84.8	144.4	323
93.6	142.9	22.2
89.5	126.8	22.2
69.7	127.6	7.8
91.7	96.9	7.8
88.5	99.3	7.6
87.2	117.3	7.6
98.5	10.6	7.5
95	8.3	7.5
99.2	8.3	7.5
15.3	8.1	7.5
8.2	8.1	7.5
8.2	8.2	7.5
7.6	8.2	274
7.5	8.7	274
7.5	102	34.3
7.4	121.2	34.3
7.4	97.6	7.9
7.4	107.4	7.9
7.5	109.7	7.6
7.4	112.4	7.6
125.9	124.5	7.5
65.8	21	7.5
71.2	9.4	7.5
75.7	8.4	7.5
73.3	8.3	1362
60.4	8.3	1362
74	8.1	295
85.2	8.1	295
72.4	8.1	12.3
98.1	8.1	12.3
82.6	113.6	7.7
88.8	123.4	7.7
92.8	109.3	7.5
107.5	112.7	7.5
87.2	124.6	7.5
94.5	111.1	7.5
94.6	69.9	7.4
25.9	29.1	7.4
7.9	8.8	1506
7.5	8.3	1506
7.4	8.2	281
7.4	8.1	281
7.4	8.1	10
7.3	8.2	10
7.5	8.1	7.6
7.3	129.6	7.6
7.3	125.3	7.5
141.7	106.7	7.5
112.5	114	7.5
82.5	113.5	7.5
92.8	117.1	7.4
91.6	103.4	7.4
91.9	110	289
100.1	19.6	289
99.1	8.6	290
93.8	8.6	290
101.7	8.2	11.6
101.7	8.2	11.6
89.5	8.2	7.6
115.8	8.1	7.6
94.7	8.1	7.5
114.4	106.6	7.5
114.1	120.3	7.5
81.4	103.7	7.5
93.7	99.2	7.4
10	115.4	7.4
7.8	100.5	7.4
7.5	104.6	7.4
7.4	104.6	272
7.5	15.1	272
7.5	8.5	8.8
7.4	8.3	8.8
7.4	8.3	7.7
7.3	8.2	7.7
7.4	8.3	7.5
159.8	8	7.5
100.2	8.1	7.5
109.4	108.4	7.5
85.1	91.4	7.5
94	96.3	7.5
90.2	81.5	7.5
92.8	57.7	7.5
87.2	110.1	215
89.4	124.5	215
86.5	61.8	8.4
79	9.5	8.4
103.4	8.4	7.6
91.2	8.2	7.6
82.5	8.1	7.6
94.1	8.1	7.6
95.9	8.1	7.5
101.7	8.2	7.5
89.2	29.1	15
9.5	128.5	15
7.7	102.2	345
7.7	105.6	345
7.6	120.7	290
7.5	121.8	290
7.5	106	8.9
7.4	104.6	8.9
7.5	30.2	7.6
7.4	10	7.6
