Regular (W)	PermPress (W)	Delicates (W)
87.2	7.2	0
30.1	7.2	0
13.1	7.2	0
13.1	116.7	0
12.5	123.6	0
12.5	123.6	0
12.4	133.2	0
17.4	132.8	0
17.4	130.6	0
98.4	130.6	0
180.4	117.8	0
131.3	13.1	0
37.3	7.6	0
18.4	7.3	0
17.8	7.2	0
17.8	7.2	0
17.8	7.2	0
13.1	7.2	0
12.5	16.3	0
12.5	119.8	0
97.4	146.9	0
185.9	143	0
154.2	169.2	0
22	111.4	0
15.5	112.2	0
7.5	104.9	0
7.4	130.1	0
7.2	10.2	0
7.2	7.5	0
7.2	7.3	0
7.3	7.3	0
7.3	7.3	0
7.3	7.2	0
7.3	7.3	0
7.2	53.8	0
12.1	133.1	0
12.1	131.7	0
195	109.9	0
128.3	131.8	0
124.3	142.7	0
121.1	128.8	0
126	121.2	0
126	26.3	0
141.4	12.5	0
150.8	7.4	0
152.6	7.1	0
123.2	7.2	0
157.6	7.2	0
152.5	7	0
147.9	7.1	0
148	72.9	0
168.8	118.3	0
162.1	138.9	0
35.4	155.8	0
9.8	116.9	0
7.6	139.8	0
7.4	119.3	0
7.3	114.6	0
7.3	38.3	0
7.3	9.7	0
7.2	7.4	0
7.2	7.3	0
7.2	7.2	0
7.2	7.2	0
231	7.1	0
170	7.2	0
150.8	136.4	0
146.5	127.9	0
105.3	127.9	0
125.3	121.4	0
125.6	146.3	0
118.1	138.6	0
118.1	144.5	0
120.6	118.5	0
140.5	23.8	0
128.4	7.7	0
128.4	7.3	0
149	7.3	0
144.5	7.1	0
151.4	7.1	0
133.9	7.1	0
18.5	7.1	0
8.5	101.6	0
7.7	105.4	0
7.4	135.7	0
7.4	135.7	0
7.3	124.4	0
7.3	121.3	0
7.2	120.1	0
7.2	117.4	0
7.3	9.6	0
159.9	7.7	0
180	7.4	0
180	7.2	0
163.3	7.2	0
148.3	7.2	0
170.6	7.1	0
163.9	7.7	0
163.9	7.7	0
164.9	124.1	0
168.6	119.7	0
158.9	123.6	0
158.9	116.8	0
144	153.7	0
138.7	129.3	0
115.8	80.8	0
159.5	12.4	0
133.6	7.5	0
119.4	7.4	0
12.2	7.1	0
8	7.1	0
7.4	7.2	0
7.4	7.2	0
7.3	20.5	0
7.3	89.1	0
7.2	109.9	0
7.2	142.7	0
7.2	129.6	0
7.2	129.6	0
7.2	140.4	0
184	116.8	0
163.3	35	0
145.7	9.5	0
127.9	7.4	0
170.3	7.2	0
140.6	7.3	0
144.6	7.2	0
117.6	7.1	0
120	7.2	0
128.1	70.1	0
151.7	122.2	0
151.5	122.2	0
154.6	126	0
117.5	121.6	0
138	138.2	0
140.6	125.7	0
160	117	0
10.6	22.4	0
8	7.7	0
7.5	7.4	0
7.5	7.2	0
7.3	7.2	0
7.3	7.2	0
7.4	7.1	0
7.3	7.1	0
7.1	93.1	0
7.2	115.2	0
7.2	126.8	0
196	123.3	0
173	140.1	0
198.9	128.8	0
170.5	118.7	0
145.7	98.8	0
128.9	98.8	0
150.7	7.6	0
136.8	7.2	0
143.4	7.1	0
142.4	7.1	0
155.8	7.2	0
143.1	7	0
146.7	7.1	0
129.2	73.6	0
129.2	122.8	0
155.4	127.6	0
77.2	131	0
12.5	128.9	0
12.5	127.9	0
7.3	128.3	0
7.3	66.3	0
7.2	11.6	0
7.1	7.6	0
7.2	7.2	0
7.1	7.2	0
7.1	7.2	0
7.8	7.1	0
170.6	7.1	0
170.6	26.4	0
136	89.2	0
110.5	126.6	0
134.4	147.8	0
125.5	133.3	0
158.6	135.1	0
148.5	132.7	0
148.5	120.6	0
121.9	32	0
142.8	9.4	0
138.9	9.4	0
131.9	7.4	0
111.9	7.2	0
137.5	7.2	0
151.7	7.2	0
127.9	7.2	0
35.9	76.6	0
8.1	142.4	0
7.5	136.2	0
7.3	123	0
7.3	115.5	0
7.1	120.5	0
7.2	144	0
7.2	126.1	0
7.1	57.7	0
7.2	8.4	0
28	7.3	0
190	7.3	0
190	7.2	0
130.2	7.2	0
133.8	7.2	0
143.5	7.2	0
141.8	96.2	0
129.7	129	0
124.6	128.3	0
136.2	122.2	0
125.2	147.2	0
132.6	131.2	0
133.2	126.2	0
133.8	131.1	0
141.6	29.8	0
148.4	8	0
149.7	8	0
141.6	7.2	0
24.7	7.2	0
8	7.1	0
7.5	7.2	0
7.3	7.1	0
7.4	6.9	0
7.2	60.6	0
7.3	67.7	0
7.3	67.7	0
7.2	73.8	0
7.2	74	0
7.2	74.1	0
184	73.9	0
149.1	74	0
140.2	73.9	0
148.2	73.8	0
137.7	73.8	0
121.4	73.9	0
131.5	74	0
131.5	74	0
146.2	73.9	0
154.5	74.1	0
135.1	74	0
135.1	73.9	0
136.3	74.1	0
112.7	74.1	0
128.6	74.1	0
137.6	74.1	0
109.5	74.1	0
14.5	74.1	0
7.8	74.2	0
7.5	74.3	0
7.4	74.3	0
7.3	74	0
7.3	73.9	0
7.2	74	0
7.3	74.2	0
7.2	74.2	0
7.2	74.1	0
252	73.9	0
252	74.1	0
152	74.1	0
134.9	74.1	0
143.8	74	0
180	74	0
144.6	74	0
145.8	73.9	0
157.7	73.6	0
158	78.2	0
157	63.1	0
148.9	56.2	0
135.9	50.9	0
135.9	50.8	0
135.9	52.8	0
154.1	54.2	0
161.3	55.5	0
62.7	56.6	0
21.5	49	0
60.1	49.1	0
64	49.1	0
71.6	49.2	0
74.1	49.2	0
76.2	49.2	0
76.4	49.3	0
76.4	49.5	0
76.2	49.4	0
76.3	49.3	0
76.3	49.3	0
76	49.2	0
76.3	49.3	0
76.3	49.3	0
76.2	48.9	0
76.2	48.9	0
76.5	49.2	0
76.4	49.4	0
76.3	22.6	0
76.3	22.6	0
76.4	7	0
76.4	7	0
76.2	7	0
76.3	6.9	0
76.3	7	0
80	6.8	0
80	6.9	0
57.6	6.9	0
54.6	6.7	0
52.9	7	0
53	6.9	0
54.1	6.8	0
55.1	6.9	0
55.5	6.8	0
55.6	6.9	0
52.9	6.8	0
51.2	6.8	0
50.8	6.8	0
51	6.9	0
50.5	6.8	0
50	6.8	0
50.4	6.9	0
50.7	6.9	0
52.1	6.8	0
51.7	6.9	0
51.8	6.8	0
51.6	6.9	0
51.6	6.8	0
50.6	81.2	0
50.5	93.8	0
49.7	94.6	0
49.9	78.6	0
35	80.2	0
7.6	81.9	0
7.1	108.1	0
6.9	79	0
6.9	56.8	0
6.9	66.9	0
6.9	65	0
6.9	70.2	0
6.9	62.1	0
6.9	63.3	0
6.9	64.9	0
7	64.4	0
6.8	65	0
6.9	107	0
6.8	107	0
6.9	315	0
6.9	315	0
6.8	286	0
6.9	263	0
6.9	249	0
6.9	246	0
6.9	244	0
6.9	241	0
6.9	235	0
6.9	234	0
6.9	234	0
6.8	228	0
6.8	222	0
6.8	100.9	0
6.8	100.9	0
48.5	174.7	0
48.5	266	0
162.3	214	0
135.5	214	0
105.5	208	0
122	206	0
97.1	205	0
89.5	206	0
91	206	0
79	204	0
76.9	206	0
80.1	208	0
67	208	0
65.3	155.4	0
67.8	162.7	0
61.8	199.6	0
72.8	199.6	0
66.8	1024	0
76.6	200	0
68.8	199	0
67.5	201	0
66.6	199	0
68.8	200	0
69.7	200	0
66.9	201	0
57.9	203	0
50.6	201	0
50	178	0
112	163.2	0
112	163.2	0
106	159.4	0
73.7	1035	0
75.5	199	0
77.1	201	0
77.9	200	0
78.6	197	0
79.6	204	0
79.5	200	0
81.2	205	0
83	208	0
47	209	0
35.8	205	0
35.8	205	0
85.6	99.8	0
89.5	178.1	0
78.3	172.5	0
78.2	1105	0
76.8	208	0
77.3	207	0
77.2	208	0
77.1	211	0
78.4	214	0
77.1	213	0
77.9	209	0
63.4	209	0
20.8	206	0
19.7	207	0
20.8	210	0
72.2	207	0
74.7	206	0
64.7	207	0
64.1	207	0
65.3	209	0
63.7	206	0
63.9	207	0
64.7	203	0
64.9	205	0
63.8	203	0
64.5	207	0
155.4	204	0
272	206	0
272	206	0
293	207	0
323	205	0
307	205	0
287	207	0
274	206	0
238	204	0
219	203	0
189	205	0
176.5	206	0
155.9	203	0
149.9	205	0
138.8	205	0
125.2	205	0
125.2	200	0
72	203	0
67.5	206	0
127.2	206	0
148.2	203	0
171.9	206	0
161.8	206	0
156.2	209	0
149.8	206	0
130.4	204	0
55	207	0
50.4	204	0
50.1	205	0
49.7	202	0
49.8	208	0
22.6	207	0
19.7	206	0
20.4	202	0
71.3	203	0
65.5	203	0
63.8	206	0
64.4	203	0
64.7	204	0
63.3	208	0
63.4	206	0
64.4	207	0
64.2	205	0
63.5	206	0
64	206	0
63.8	202	0
25.5	205	0
22.5	204	0
79.3	207	0
283	207	0
283	205	0
308	206	0
286	202	0
266	205	0
267	205	0
252	203	0
248	204	0
246	205	0
247	208	0
249	206	0
245	204	0
204	202	0
195	205	0
195	198	0
195	170	0
229	165.5	0
220	164.2	0
215	165.7	0
217	164.1	0
209	164.6	0
208	166.3	0
211	166.5	0
206	165.4	0
205	166.9	0
206	166	0
201	163.4	0
166	167.9	0
162.2	163.6	0
162.5	160.7	0
1086	163.5	0
1086	161.2	0
196	164	0
198	164.1	0
200	165.9	0
200	163.9	0
202	163.9	0
199	1040	0
200	204	0
201	203	0
202	200	0
200	200	0
163.1	200	0
165.8	203	0
159.7	189	0
202	162.9	0
203	164.7	0
195	167.2	0
202	164.1	0
197	164.1	0
198	164.3	0
195	163.6	0
198	165.3	0
202	165.7	0
199	165	0
193	163.2	0
193	165.6	0
160	165.1	0
160.5	163.4	0
194.4	163.5	0
194.4	164.9	0
198	161.8	0
196	166.2	0
199	163.3	0
200	169	0
200	162.6	0
198	163.4	0
199	163.4	0
196	203	0
198	204	0
195	201	0
197	206	0
194	204	0
200	201	0
197	206	0
197	94.7	0
198	166.2	0
199	167.5	0
199	164.9	0
199	169	0
197	161.5	0
198	163.1	0
196	165.5	0
196	162.4	0
196	166.3	0
192	163.6	0
194	162.9	0
196	167.1	0
192	161.9	0
193	163.1	0
196	164.7	0
195	162.9	0
197	166.4	0
195	163.7	0
197	164.1	0
197	163.8	0
197	165.6	0
196	211	0
201	203	0
193	202	0
198	202	0
198	203	0
198	201	0
196	200	0
195	202	0
192	169.3	0
193	169.3	0
193	162.1	0
192	166.1	0
195	159.1	0
197	159.1	0
197	162.2	0
197	165	0
191	162.7	0
188	160.5	0
188	160.5	0
238	167	0
196	162	0
197	164.4	0
188	164.6	0
1030	165.2	0
196	159.6	0
193	162.4	0
194	162.4	0
195	163.1	0
195	164.6	0
198	172.5	0
200	1058	0
205	200	0
205	201	0
203	193	0
206	195	0
200	200	0
205	198	0
206	196	0
206	163.9	0
207	162.4	0
207	164.6	0
207	158.9	0
212	163	0
210	165.9	0
208	161.2	0
208	162.7	0
210	162.3	0
207	162	0
210	155.7	0
212	161	0
206	159.7	0
208	162.9	0
169.6	160.6	0
170.3	161.1	0
167.2	162.2	0
169.7	160.4	0
175.6	161.3	0
171.7	162.6	0
169.4	163.3	0
170.2	163.3	0
172.1	163.3	0
174.2	200	0
173.8	200	0
170.4	200	0
170.3	196	0
177.3	199	0
173.3	198	0
170.7	194	0
174	169	0
172.6	159.6	0
173.1	158.9	0
175.5	161.2	0
176.1	160.4	0
174.5	158.6	0
1154	161	0
212	158.2	0
206	158	0
220	161.7	0
212	161.8	0
208	159.1	0
209	161.8	0
216	161.7	0
191	159.7	0
178	159.1	0
171.3	163.5	0
179.8	161	0
178.4	159.1	0
175.6	165.5	0
174.9	162.5	0
181.1	187.9	0
179.9	202	0
178.3	201	0
179	201	0
182.2	203	0
180	202	0
181.5	199	0
178.9	200	0
178.8	202	0
185.7	156.3	0
182.4	161	0
183.5	162.2	0
179.5	162.2	0
185.8	162	0
184.4	158.7	0
184.4	161.4	0
226	164.2	0
222	161.7	0
229	161.8	0
229	160.2	0
219	159.5	0
225	161.1	0
229	163.7	0
193	165.5	0
189.4	156.2	0
194	164.3	0
190.2	157.8	0
190.6	162.9	0
189.4	156.3	0
190.8	162.3	0
187.5	158.1	0
192.3	201	0
192.3	201	0
188.2	199	0
197.8	202	0
1036	200	0
193	196	0
193	197	0
196	196	0
202	161.6	0
199	162.9	0
192	164.4	0
201	160.8	0
200	158.1	0
201	154.9	0
242	154.9	0
234	156.9	0
249	161	0
249	160.7	0
249	160.6	0
242	160.6	0
249	160.6	0
251	159.5	0
223	159.5	0
209	159	0
214	157.7	0
210	161.7	0
208	159.8	0
210	165.1	0
215	161.8	0
217	159.1	0
218	199	0
220	199	0
212	199	0
217	193	0
218	200	0
218	198	0
215	198	0
218	203	0
219	166.5	0
216	157.7	0
215	163.7	0
213	163	0
215	159.8	0
209	159.4	0
209	159.6	0
256	159.8	0
259	159.4	0
255	160.6	0
253	159.2	0
257	162.8	0
255	157.6	0
248	159.8	0
213	157.6	0
204	163.8	0
212	160	0
213	160	0
199	158	0
218	157.9	0
216	162.7	0
209	162.5	0
210	162.5	0
209	200	0
209	198	0
210	198	0
208	200	0
207	197	0
207	198	0
210	196	0
209	196	0
208	159.5	0
209	160.1	0
208	159.9	0
208	159.9	0
209	159.7	0
256	162.4	0
250	160	0
249	158.7	0
251	156.3	0
247	159	0
247	160	0
249	159	0
248	159.1	0
211	158.9	0
207	160.7	0
209	159.1	0
214	159	0
212	157.2	0
212	161.2	0
215	156.9	0
209	157.4	0
210	246	0
213	200	0
209	199	0
211	195	0
210	198	0
217	199	0
217	198	0
213	45.6	0
204	45.6	0
204	49.5	0
214	49.1	0
206	49.2	0
202	49.2	0
218	49	0
267	49.1	0
253	49.1	0
253	49.1	0
252	49.1	0
249	10.1	0
248	7	0
252	6.8	0
248	6.8	0
211	6.5	0
211	6.7	0
215	6.7	0
215	6.7	0
215	15.6	0
217	17.8	0
222	14.2	0
224	14.2	0
210	17.7	0
221	17.7	0
228	17.5	0
225	15.1	0
228	7	0
228	6.8	0
228	6.7	0
231	6.6	0
230	6.6	0
235	6.6	0
235	6.7	0
235	44.6	0
233	9.9	0
248	17.4	0
285	19.8	0
280	12.1	0
280	12.2	0
278	14.7	0
284	21.8	0
286	7.7	0
285	6.9	0
283	6.8	0
240	6.7	0
240	6.7	0
254	6.7	0
247	6.7	0
251	6.7	0
256	38.2	0
256	13.9	0
252	22.2	0
263	23.4	0
260	21.1	0
259	12.8	0
254	24.2	0
269	21.5	0
263	7.3	0
262	6.7	0
267	6.7	0
273	6.7	0
283	6.8	0
278	6.7	0
287	6.7	0
292	6.7	0
320	49.8	0
338	9.7	0
334	10.8	0
328	11.2	0
328	7.4	0
328	6.7	0
334	6.6	0
326	15.2	0
315	6.7	0
282	6.6	0
286	6.6	0
278	6.5	0
285	6.5	0
286	6.5	0
286	6.5	0
280	6.5	0
275	6.5	0
271	6.5	0
269	6.4	0
254	6.4	0
262	3.5	0
261	3.5	0
264	3.5	0
264	3.5	0
268	0	0
262	0	0
266	0	0
266	0	0
266	0	0
264	0	0
295	0	0
322	0	0
311	0	0
301	0	0
296	0	0
296	0	0
298	0	0
294	0	0
282	0	0
261	0	0
256	0	0
259	0	0
259	0	0
259	0	0
254	0	0
260	0	0
258	0	0
259	0	0
258	0	0
259	0	0
261	0	0
263	0	0
258	0	0
259	0	0
261	0	0
260	0	0
261	0	0
261	0	0
260	0	0
260	0	0
293	0	0
307	0	0
302	0	0
300	0	0
301	0	0
300	0	0
301	0	0
298	0	0
284	0	0
262	0	0
259	0	0
257	0	0
259	0	0
256	0	0
258	0	0
262	0	0
258	0	0
260	0	0
256	0	0
257	0	0
260	0	0
257	0	0
258	0	0
260	0	0
259	0	0
257	0	0
259	0	0
257	0	0
259	0	0
262	0	0
295	0	0
302	0	0
301	0	0
299	0	0
299	0	0
302	0	0
304	0	0
297	0	0
279	0	0
279	0	0
259	0	0
257	0	0
260	0	0
260	0	0
257	0	0
253	0	0
255	0	0
256	0	0
258	0	0
257	0	0
257	0	0
261	0	0
255	0	0
258	0	0
259	0	0
264	0	0
261	0	0
258	0	0
260	0	0
254	0	0
254	0	0
306	0	0
298	0	0
299	0	0
302	0	0
299	0	0
304	0	0
306	0	0
302	0	0
53.9	0	0
50.3	0	0
49.9	0	0
50.1	0	0
50.1	0	0
50.1	0	0
49.8	0	0
49.7	0	0
49.9	0	0
49.6	0	0
49.8	0	0
49.6	0	0
49.8	0	0
49.7	0	0
34.2	0	0
7.6	0	0
7.1	0	0
7.1	0	0
51.1	0	0
16.3	0	0
7.2	0	0
6.9	0	0
6.8	0	0
6.8	0	0
6.8	0	0
6.8	0	0
6.8	0	0
19.5	0	0
20	0	0
11.8	0	0
13.1	0	0
20.6	0	0
17.6	0	0
9.2	0	0
9.2	0	0
6.8	0	0
6.7	0	0
6.8	0	0
6.8	0	0
6.7	0	0
6.7	0	0
6.8	0	0
6.6	0	0
33.3	0	0
20.7	0	0
21.5	0	0
27.8	0	0
27.5	0	0
30	0	0
29.6	0	0
15.1	0	0
7	0	0
6.7	0	0
6.8	0	0
