Regular (kW)	PermPress (kW)	Delicates (kW)
0.512	0.504	0.502
0.512	0.504	0.502
0.512	0.506	0.502
0.512	0.506	0.502
0.512	0.506	0.502
0.512	0.506	0.5
0.512	0.506	0.5
0.512	0.508	0.5
0.512	0.508	0.5
0.512	0.508	0.5
0.512	0.508	0.5
0.522	0.508	0.5
0.522	0.508	0.5
0.522	0.508	0.5
0.522	0.508	0.5
0.522	0.508	0.504
0.512	0.508	0.504
0.512	0.508	0.504
0.512	0.508	0.504
0.512	0.508	0.504
0.512	0.508	0.184
0.504	0.508	0.184
0.504	0.508	0.184
0.504	0.508	0.184
0.504	0.508	0.33
0.504	0.508	0.33
0.506	0.508	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.502	0.506	0.498
0.502	0.506	0.498
0.502	0.506	0.498
0.502	0.506	0.498
0.502	0.506	0.498
0.504	0.51	0.498
0.504	0.51	0.498
0.504	0.51	0.498
0.504	0.51	0.498
0.504	0.51	0.498
0.508	0.51	0.498
0.508	0.508	0.498
0.508	0.508	0.498
0.508	0.508	0.498
0.508	0.508	0.498
0.502	0.514	0.5
0.502	0.514	0.5
0.502	0.514	0.5
0.502	0.514	0.5
0.502	0.514	0.5
0.508	0.514	0.502
0.508	0.514	0.502
0.508	0.514	0.502
0.508	0.514	0.502
0.508	0.514	0.502
0.504	0.512	0.498
0.504	0.512	0.498
0.504	0.512	0.498
0.504	0.512	0.498
0.504	0.512	0.498
0.506	0.51	0.5
0.506	0.51	0.5
0.506	0.51	0.5
0.506	0.51	0.5
0.506	0.51	0.5
0.51	0.51	0.466
0.51	0.51	0.466
0.51	0.51	0.466
0.51	0.51	0.466
0.51	0.51	0.466
0.512	0.512	0.45
0.512	0.512	0.45
0.512	0.512	0.45
0.512	0.512	0.45
0.512	0.512	0.45
0.514	0.514	0.446
0.514	0.514	0.446
0.514	0.514	0.446
0.514	0.514	0.446
0.514	0.514	0.446
0.51	0.516	0.458
0.51	0.516	0.458
0.51	0.516	0.458
0.51	0.516	0.458
0.51	0.516	0.458
0.512	0.516	0.458
0.512	0.516	0.458
0.512	0.516	0.458
0.512	0.516	0.458
0.512	0.516	0.458
0.512	0.516	0.46
0.512	0.516	0.46
0.512	0.516	0.46
0.512	0.516	0.46
0.512	0.516	0.46
0.506	0.512	0.458
0.506	0.512	0.458
0.506	0.512	0.458
0.506	0.512	0.458
0.506	0.512	0.458
0.512	0.512	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.512	0.456
0.512	0.512	0.456
0.512	0.512	0.456
0.512	0.512	0.456
0.512	0.512	0.456
0.514	0.514	0.46
0.514	0.514	0.46
0.514	0.514	0.46
0.514	0.514	0.46
0.514	0.514	0.46
0.514	0.51	0.456
0.514	0.51	0.456
0.514	0.51	0.456
0.514	0.51	0.456
0.514	0.51	0.456
0.508	0.512	0.454
0.508	0.512	0.454
0.508	0.512	0.454
0.508	0.512	0.454
0.508	0.512	0.454
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.512	0.514	0.46
0.512	0.514	0.46
0.512	0.514	0.46
0.512	0.514	0.46
0.512	0.514	0.46
0.514	0.516	0.456
0.514	0.516	0.456
0.514	0.516	0.456
0.514	0.516	0.456
0.514	0.516	0.456
0.518	0.518	0.456
0.518	0.518	0.456
0.518	0.518	0.456
0.518	0.518	0.456
0.518	0.518	0.456
0.518	0.514	0.456
0.518	0.514	0.456
0.518	0.514	0.456
0.518	0.514	0.456
0.518	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.508	0.514	0.456
0.512	0.51	0.456
0.512	0.51	0.456
0.512	0.51	0.456
0.512	0.51	0.456
0.512	0.51	0.456
0.518	0.514	0.454
0.518	0.514	0.454
0.518	0.514	0.454
0.518	0.514	0.454
0.518	0.514	0.454
0.51	0.512	0.458
0.51	0.512	0.458
0.51	0.512	0.458
0.51	0.512	0.458
0.51	0.512	0.458
0.514	0.516	0.458
0.514	0.516	0.458
0.514	0.516	0.458
0.514	0.516	0.458
0.514	0.516	0.458
0.508	0.51	0.456
0.508	0.51	0.456
0.508	0.51	0.456
0.508	0.51	0.456
0.508	0.51	0.456
0.514	0.508	0.458
0.514	0.508	0.458
0.514	0.508	0.458
0.514	0.508	0.458
0.514	0.508	0.458
0.516	0.506	0.458
0.516	0.506	0.458
0.516	0.506	0.458
0.516	0.506	0.458
0.516	0.506	0.458
0.514	0.514	0.456
0.514	0.514	0.456
0.514	0.514	0.456
0.514	0.514	0.456
0.514	0.514	0.456
0.51	0.516	0.456
0.51	0.516	0.456
0.51	0.516	0.456
0.51	0.516	0.456
0.51	0.516	0.456
0.512	0.518	0.456
0.512	0.518	0.456
0.512	0.518	0.456
0.512	0.518	0.456
0.512	0.518	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.512	0.514	0.456
0.52	0.514	0.456
0.52	0.514	0.456
0.52	0.514	0.456
0.52	0.514	0.456
0.52	0.514	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.516	0.456
0.512	0.512	0.458
0.512	0.512	0.458
0.512	0.512	0.458
0.512	0.512	0.458
0.512	0.512	0.458
