Regular (kW)	PermPress (kW)	Timed (kW)
2.91	2.99	2.968
2.91	2.992	2.968
2.91	2.992	2.968
2.91	2.992	2.968
2.91	2.992	2.968
2.91	2.992	2.974
2.91	2.992	2.974
2.91	2.992	2.974
2.91	2.992	2.974
2.908	2.992	2.974
2.908	3.024	2.976
2.908	3.024	2.976
2.908	3.024	2.976
2.908	3.024	2.976
2.908	3.024	2.976
2.908	3.024	2.974
2.908	3.024	2.974
2.908	3.028	2.974
2.908	3.028	2.974
2.906	3.028	2.974
2.906	3.028	2.97
2.906	3.028	2.97
2.906	3.026	2.97
2.906	3.026	2.97
2.9	3.026	2.97
2.9	3.026	2.958
2.9	3.026	2.958
2.9	3.026	2.958
2.9	3.026	2.958
2.892	3.026	2.958
2.892	3.026	2.96
2.892	3.026	2.96
2.892	3.026	2.96
2.892	3.026	2.96
2.894	3.026	2.96
2.894	3.026	2.964
2.894	3.026	2.964
2.894	3.02	2.964
2.894	3.02	2.964
2.894	3.02	2.964
2.894	3.02	2.968
2.894	3.02	2.968
2.894	3.024	2.968
2.894	3.024	2.968
2.892	3.024	2.968
2.892	3.024	2.972
2.892	3.024	2.972
2.892	3.02	2.972
2.892	3.02	2.972
2.894	3.02	2.972
2.894	3.02	2.97
2.894	3.02	2.97
2.894	3.024	2.97
2.894	3.024	2.97
2.89	3.024	2.97
2.89	3.024	2.974
2.89	3.024	2.974
2.89	3.02	2.974
2.89	3.02	2.974
2.89	3.02	2.974
2.89	3.02	2.976
2.89	3.02	2.976
2.89	3.022	2.976
2.89	3.022	2.976
2.894	3.022	2.976
2.894	3.022	2.98
2.894	3.022	2.98
2.894	3.024	2.98
2.894	3.024	2.98
2.894	3.024	2.98
2.894	3.024	2.978
2.894	3.024	2.978
2.894	3.024	2.978
2.894	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.024	2.978
2.884	3.028	2.978
2.884	3.028	2.978
2.88	3.028	2.978
2.88	3.028	2.978
2.88	3.028	2.978
2.88	3.026	2.978
2.88	3.026	2.978
2.88	3.026	2.978
2.89	3.026	2.976
2.89	3.026	2.976
2.89	3.026	2.976
2.89	3.026	2.976
2.886	3.026	2.976
2.886	3.026	2.976
2.886	3.026	2.976
2.886	3.034	2.976
2.886	3.034	2.976
2.886	3.034	2.976
2.886	3.034	2.978
2.886	3.034	2.978
2.886	3.034	2.978
2.886	3.034	2.978
2.874	3.034	2.978
2.874	3.034	2.974
2.874	3.034	2.974
2.874	3.038	2.974
2.874	3.038	2.974
2.87	3.038	2.974
2.87	3.038	2.978
2.87	3.038	2.978
2.87	3.026	2.978
2.87	3.026	2.978
2.866	3.026	2.978
2.866	3.026	2.968
2.866	3.026	2.968
2.866	3.026	2.968
2.866	3.026	2.968
2.87	3.026	2.968
2.87	3.026	2.964
2.87	3.026	2.964
2.87	3.024	2.964
2.87	3.024	2.964
2.864	3.024	2.964
2.864	3.024	2.95
2.864	3.024	2.95
2.864	3.028	2.95
2.864	3.028	2.95
2.866	3.028	2.95
2.866	3.028	2.954
2.866	3.028	2.954
2.866	3.034	2.954
2.866	3.034	2.954
2.864	3.034	2.954
2.864	3.034	2.966
2.864	3.034	2.966
2.864	3.026	2.966
2.864	3.026	2.966
2.86	3.026	2.966
2.86	3.026	2.964
2.86	3.026	2.964
2.86	3.026	2.964
2.86	3.026	2.964
2.864	3.026	2.964
2.864	3.026	2.964
2.864	3.026	2.964
2.864	3.022	2.964
2.864	3.022	2.964
2.878	3.022	2.964
2.878	3.022	2.942
2.878	3.022	2.942
2.878	3.014	2.942
2.878	3.014	2.942
2.888	3.014	2.942
2.888	3.014	2.932
2.888	3.014	2.932
2.888	3.018	2.932
2.888	3.018	2.932
2.884	3.018	2.932
2.884	3.018	2.942
2.884	3.018	2.942
2.884	3.016	2.942
2.884	3.016	2.942
2.88	3.016	2.942
2.88	3.016	2.942
2.88	3.016	2.942
2.88	3.018	2.942
2.88	3.018	2.942
2.882	3.018	2.942
2.882	3.018	2.94
2.882	3.018	2.94
2.882	3.018	2.94
2.882	3.018	2.94
2.88	3.018	2.94
2.88	3.018	2.938
2.88	3.018	2.938
2.88	3	2.938
2.88	3	2.938
2.884	3	2.938
2.884	3	2.938
2.884	3	2.938
2.884	2.992	2.938
2.884	2.992	2.938
2.888	2.992	2.938
2.888	2.992	2.934
2.888	2.992	2.934
2.888	2.99	2.934
2.888	2.99	2.934
2.88	2.99	2.934
2.88	2.99	2.932
2.88	2.99	2.932
2.88	2.986	2.932
2.88	2.986	2.932
2.882	2.986	2.932
2.882	2.986	2.932
2.882	2.986	2.928
2.882	2.988	2.928
2.882	2.988	2.928
2.886	2.988	2.928
2.886	2.988	2.946
2.886	2.988	2.946
2.886	2.988	2.964
2.886	2.988	2.964
2.884	2.988	2.964
