Regular (kW)	PermPress (kW)	Timed (kW)
5.986	0.272	5.768
5.986	0.272	5.744
5.82	0.272	5.744
5.82	0.272	5.744
5.82	0.272	5.744
5.82	0.274	5.744
5.82	0.274	5.744
5.778	0.274	5.744
5.778	0.274	5.744
5.778	0.274	5.744
5.778	0.272	5.744
5.778	0.272	5.742
5.78	0.272	5.742
5.78	0.272	5.742
5.78	0.272	5.742
5.78	0.272	5.742
5.78	0.272	5.74
5.774	0.272	5.74
5.774	0.272	5.74
5.774	0.272	5.74
5.774	0.274	5.74
5.774	0.274	5.742
5.776	0.274	5.742
5.776	0.274	5.742
5.776	0.274	5.742
5.776	0.272	5.742
5.776	0.272	5.742
0.948	0.272	5.742
0.948	0.272	5.742
0.948	0.272	5.742
0.948	0.272	5.742
0.948	0.272	5.738
0.226	0.272	5.738
0.226	0.272	5.738
0.226	0.272	5.738
0.226	0.272	5.738
0.226	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.274	0.274
0.228	0.274	0.272
0.23	0.274	0.272
0.23	0.274	0.272
0.23	0.274	0.272
0.23	0.274	0.272
0.23	0.274	0.276
0.228	0.274	0.276
0.228	0.274	0.276
0.228	0.274	0.276
0.228	0.274	0.276
0.228	0.274	0.27
0.226	0.274	0.27
0.226	0.274	0.27
0.226	0.274	0.27
0.226	0.274	0.27
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.278
0.226	0.274	0.276
0.23	0.274	0.276
0.23	0.274	0.276
0.23	0.274	0.276
0.23	0.274	0.276
0.23	0.274	0.28
0.226	0.274	0.28
0.226	0.274	0.28
0.226	0.274	0.28
0.226	0.274	0.28
0.226	0.274	0.274
0.228	0.274	0.274
0.228	0.274	6.116
0.228	0.274	6.116
0.228	0.274	6.116
0.228	0.272	6.116
0.228	0.272	6.116
0.228	0.272	5.844
0.228	0.272	5.844
0.228	0.272	5.844
0.228	0.272	5.844
0.23	0.272	5.844
0.23	0.272	5.768
0.23	0.272	5.768
0.23	0.272	5.768
0.23	0.272	5.768
0.23	0.272	5.768
0.23	0.272	5.746
0.23	0.272	5.746
0.23	0.272	5.746
0.23	0.274	5.746
0.23	0.274	5.746
0.23	0.274	5.746
0.23	0.274	5.746
0.23	0.274	5.746
0.23	0.272	5.746
0.23	0.272	5.746
0.23	0.272	5.746
0.23	0.272	5.746
0.23	0.272	5.738
0.23	0.272	5.738
5.784	0.272	5.738
5.784	0.272	5.738
5.784	0.272	5.738
5.784	0.272	5.734
5.784	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.272	5.734
5.778	0.274	5.732
5.778	0.274	5.732
5.744	0.274	5.732
5.744	0.274	5.732
5.744	0.274	5.732
5.744	0.272	5.724
5.744	0.272	5.724
0.226	0.272	5.724
0.226	0.272	5.724
0.226	0.272	5.724
0.226	0.272	0.276
0.226	0.272	0.276
0.228	0.272	0.276
0.228	0.272	0.276
0.228	0.272	0.276
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.228	0.272	0.274
0.23	0.272	0.274
0.23	0.272	0.274
0.23	0.272	0.274
0.23	0.274	0.278
0.23	0.274	0.278
0.23	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.278
0.228	0.274	0.274
0.228	0.274	0.274
0.228	0.274	0.274
0.226	0.274	0.274
0.226	0.274	0.274
0.226	0.272	0.276
0.226	0.272	0.276
0.226	0.272	0.276
0.226	0.272	0.276
0.226	0.272	0.276
0.226	0.272	0.272
0.226	0.272	0.272
0.226	0.272	0.272
0.226	0.272	0.272
0.228	0.272	0.272
0.228	0.274	0.27
0.228	0.274	0.27
0.228	0.274	0.27
0.228	0.274	0.27
0.228	0.274	0.27
0.228	0.274	0.272
0.228	0.274	0.272
0.228	0.274	0.272
0.228	0.274	5.454
0.226	0.274	5.454
0.226	0.274	5.454
0.226	0.274	5.896
0.226	0.274	5.896
0.226	0.274	5.896
0.228	0.274	5.896
0.228	0.258	5.734
0.228	0.258	5.734
0.228	0.258	5.734
0.228	0.258	5.734
0.228	0.258	5.734
0.228	0.258	5.672
0.228	0.258	5.672
0.228	0.258	5.736
0.228	0.258	5.736
0.228	0.258	5.736
0.228	0.26	5.736
0.228	0.26	5.736
0.228	0.26	5.732
0.228	0.26	5.732
0.228	0.26	5.732
0.226	0.258	5.732
0.226	0.258	5.732
0.226	0.258	5.736
0.226	0.258	5.736
0.226	0.258	5.736
0.226	0.258	5.736
0.226	0.258	5.736
6.146	0.258	5.728
6.146	0.258	5.728
6.146	0.258	5.728
6.146	0.256	5.728
6.146	0.256	5.728
5.868	0.256	5.728
5.868	0.256	5.728
5.868	0.256	5.728
5.868	0.002	5.728
5.868	0.002	5.728
5.782	0.002	5.724
5.782	0	5.724
5.782	0	5.724
5.782	0	5.724
5.782	0	5.724
5.782	0	5.724
5.762	0	5.724
5.762	0	5.724
5.762	0	5.724
5.762	0	5.724
5.762	0	5.266
5.752	0	5.266
5.752	0	5.266
5.752	0	5.266
5.752	0	5.266
5.752	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.276
5.75	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
